,name,lon,lat,city,postcode,street,coordinates,isin_kreis_1,isin_kreis_2,isin_kreis_3,isin_kreis_4,isin_kreis_5,isin_kreis_6,isin_kreis_7,isin_kreis_8,isin_kreis_9,isin_kreis_10,isin_kreis_11,isin_kreis_12,parent
213,Migros Albisriederplatz,8.5087992,47.3791999,Zürich,8004,Badenerstrasse,"(8.5087992 , 47.3791999)",False,False,False,True,False,False,False,False,False,False,False,False,Migros
214,Coop Lochergut,8.517444699999999,47.375800899999994,Zürich,8004,Badenerstrasse,"(8.5174447 , 47.3758009)",False,False,False,True,False,False,False,False,False,False,False,False,Coop
229,Migros Schaffhauserplatz,8.5384284,47.3925525,Zürich,8057,Schaffhauserstrasse,"(8.5384284 , 47.3925525)",False,False,False,False,False,True,False,False,False,False,False,False,Migros
230,Coop Milchbuck,8.5404707,47.395724799999996,Zürich,8057,Milchbuckstrasse,"(8.5404707 , 47.3957248)",False,False,False,False,False,True,False,False,False,False,False,False,Coop
235,Denner,8.5317649,47.3841236,Zürich,8005,Fierzgasse,"(8.5317649 , 47.3841236)",False,False,False,False,True,False,False,False,False,False,False,False,Migros
276,Migros Schmiede Wiedikon,8.5200924,47.3701218,Zürich,8003,Birmensdorferstrasse,"(8.5200924 , 47.3701218)",False,False,True,False,False,False,False,False,False,False,False,False,Migros
373,Coop Schwamendingen,8.571879199999998,47.404782,Zürich,8051,Saatlenstrasse,"(8.5718792 , 47.404782)",False,False,False,False,False,False,False,False,False,False,False,True,Coop
436,Spar,8.4992903,47.423126700000005,Zürich,8046,Wehntalerstrasse,"(8.4992903 , 47.4231267)",False,False,False,False,False,False,False,False,False,False,True,False,Spar
453,Migros Brunaupark,8.5173007,47.3580599,Zürich,8045,Giesshübelstrasse,"(8.5173007 , 47.3580599)",False,False,True,False,False,False,False,False,False,False,False,False,Migros
454,Spar,8.528030099999999,47.4115497,Zürich,8050,Regensbergstrasse,"(8.5280301 , 47.4115497)",False,False,False,False,False,False,False,False,False,False,True,False,Spar
455,Migros Affoltern,8.5082174,47.4204198,Zürich,8046,Jonas-Furrer-Strasse,"(8.5082174 , 47.4204198)",False,False,False,False,False,False,False,False,False,False,True,False,Migros
